nr|nederlands|frans|engels
|De echtscheiding is speciaal uitgevonden voor lieden | Le divorce a été tout spécialement inventé pour les gens qui|The Divorce Court was specially invented for people
|met zo’n eigenaardig geheugen als het jouwe.| bizarrement, oublient qu’ils sont mariés.|whose memories are so curiously constituted.
|O, het heeft geen zin om daarover uit te weiden.| Oh, ça ne sert à rien de discuter là-dessus.|Oh! there is no use speculating on that subject.
|Echtscheidingen worden gesloten in de hemel| Les divorces sont inscrits dans le Ciel.|Divorces are made in Heaven --
|Raak die komkommersandwiches niet aan.| S’il te plait, ne touche pas aux sandwiches au concombre.|Please don't touch the cucumber sandwiches.
|Die staan er speciaal voor tante Augusta.| Ils ont été préparés spécialement pour Tante Augusta.|They are ordered specially for Aunt Augusta.
|Jij eet er anders constant al.| Et toi, tu n’arrêtes pas d’en manger.|Well, you have been eating them all the time.
|Dat is iets anders. Ze is m’n tante.| Moi, c’est tout à fait différent. C’est ma tante.|That is quite a different matter. She is my aunt.
|Hier, neem wat gewone sandwiches. Die zijn voor Gwendolen.| Prends donc une tartine beurrée. Elles sont pour Gwendolen.|Have some bread and butter. The bread and butter is for Gwendolen.
|Gwendolen t.b.d//| Elle adore les tartines beurrées.|Gwendolen is devoted to bread and butter.
|En zeer goede sandwiches zijn het!| Très bonnes tartines beurrées.|And very good bread and butter it is too.
|Kom, beste kerel, je hoeft niet te eten alsof je van plan bent alles op te eten.| Ne mange pas comme si tu allais tout avaler.|Well, my dear fellow, you need not eat as if you were going to eat it all.
|Je gedraagt je alsof je al getrouwd bent. | T.b.d //|You behave as if you were married to her already. 
|Je bent nog niet met haar getrouwd, en ik denk ook niet dat het ooit zal gebeuren.| Tu n’es pas encore marié avec elle et je crois que tu ne le seras jamais.|You are not married to her already, and I don't think you ever will be.
|Waarom zeg je dat?| Comment ça?|Why on earth do you say that?
| Wel, in de eerste plaats trouwen meisjes nooit met de mannen met wie ze flirten. Dat vinden meisjes niet netjes.| D’abord, les filles n’épousent pas leurs flirts. Elles pensent que ce n’est pas correct.|Well, in the first place girls never marry the men they flirt with. Girls don't think it right.
|O, dat is onzin.| C’est absurde!|Oh, that is nonsense!
| Dat is een onverbiddelijke waarheid. Het verklaart de reuzachtige aantal vrijgezellen waarover je hier al door struikelt.//wtf?| Pas du tout, c’est profond. Cela explique l’incroyable nombre de célibataires qu’on trouve partout.|It isn't. It is a great truth. It accounts for the extraordinary number of bachelors that one sees all over the place.
|En bovendien, ik geef mijn toestemming niet.| Ensuite, je ne donne pas mon consentement.|In the second place, I don't give my consent.
|Jouw toestemming?| Ton consentement!|Your consent!
|Beste kerel, Gwendolen is een volle nicht van me. En voor ik je toesta haar te trouwen,| Mon cher, Gwendolen est ma cousine et avant que je permette le mariage|My dear fellow, Gwendolen is my first cousin. And before I allow you to marry her,
|zul je eerste die kwestie met Cecily moeten ophelderen.| tu devras t’expliquer sur la question de Cecily.|you will have to clear up the whole question of Cecily.
|Cecily? Wat bedoel je in vredesnaam? Wat bedoel me met Cecily, Algy?| Cecily! Mais qu’est-ce que tu veux dire? Qu’est-ce que tu veux dire, Algy, avec Cecily?|Cecily! What on earth do you mean? What do you mean, Algy, by Cecily!
|Ik ken niemand die Cecily heet, voor zover ik me herriner.| Je ne connais personne du nom de Cecily.|I don't know any one of the name of Cecily.
|Breng me de cigarettenkoker die Mr. Worthing| Apportez-moi l’étui à cigarettes que M. Worthing|Bring me that cigarette case Mr. Worthing
|in de rookkamer liet liggen toen hij laatst hier dineerde.| a laissé dans le fumoir la dernière fois qu’il a diné ici.|left in the smoking room the last time he dined here.
|Zeker, meneer.| T.b.d //|Yes, sir.
|Wil jij zeggen dat mijn koker al die tijd hier lag?| Veux-tu dire que tu as gardé mon étui pendant tout ce temps.|Do you mean to say you have had my cigarette case all this time?
|Dat had je me dan wel eens kunnen laten weten. Ik heb Scotland Yard de meest dolzinnige brieven geschreven.| Tu aurais pu me le dire. J’ai écrit des lettres frénétiques à Scotland Yard,|I wish to goodness you had let me know. I have been writing frantic letters to Scotland Yard about it.
|Ik had al bijna een grote beloning uitgeloofd.| j’ai même failli offrir une grosse récompense.|I was very nearly offering a large reward.
|Doe dat dan alsnog, wil je? Ik ben nog slechter bij kas dan gewoonlijk.| Eh bien, j’aimerais que tu m’en offres une. Justement, je suis à sec.|Well, I wish you would offer one. I happen to be more than usually hard up.
|Het heeft geen zin een beloning uit te loven nu het ding gevonden is.| On n’offre pas une grosse récompense quand le truc a été retrouvé!|There is no good offering a large reward now that the thing is found.
|Minnetjes van je, Ernst? Het spijt me dat ik het zeggen moet.| Je pense que c’est plutôt mesquin de ta part, Constant, je dois le dire.|I think that is rather mean of you, Ernest, I must say.
|Hoewel, het maakt niet echt uit, want| Mais finalement ça n’a pas d’importance car|However, it makes no matter, for,
|als ik de inscriptie goed bekijk, zie ik dat het ding toch niet van jou is.| l’inscription que je vois dans l’étui montre bien qu’il n’est pas à toi.|now that I look at the inscription inside, I find that the thing isn't yours after all.
|Natuurlijk is het van mij.| Bien sûr qu’il est à moi|Of course it's mine.
|Je hebt er mij wel honderd keer mee gezien,| Tu l’as vu dans mes mains des dizaines de fois.|You have seen me with it a hundred times,
|en je hebt niet het minste recht om te lezen wat er in staat.| Et d’abord tu n’as pas le droit de lire ce qui est écrit dedans.|and you have no right whatsoever to read what is written inside.
|Een heer leest niet in andermans kokers.| Ça ne se fait pas de lire un étui à cigarette privé.|It is a very ungentlemanly thing to read a private cigarette case.
|Het is belachelijk om er regels op na te houden| Oh, c’est absurde d’avoir des attitudes aussi rigides|Oh! it is absurd to have a hard and fast rule
|over wat je wel of niet zou moeten lezen.| sur ce qu’on a le droit de lire ou non.|about what one should read and what one shouldn't. 
|Meer dan de helft van de moderne beschaving bestaat uit wat je niet zou moeten lezen.| Plus de la moitié de la culture moderne repose sur des trucs qu’on n’a pas le droit de lire.|More than half of modern culture depends on what one shouldn't read.
|Ik heb geen zin om over de moderne beschaving te discusseren.| Je ne veux pas discuter de la culture moderne.|I am quite aware of the fact, and I don't propose to discuss modern culture.
|Daar praat je niet over in gezelschap. Ik wil alleen mijn cigarettenkoker terug.| Ce n’est pas le genre de chose dont on peut parler en privé. Je veux simplement récupérer mon étui.|It isn't the sort of thing one should talk of in private. I simply want my cigarette case back.
|Het is je sigarettenkoker niet.| Mais ce n’est pas ton étui.| Yes; but this isn't your cigarette case.
|Deze koker is een cadeau van iemand die zich Cecily noemt, en je zei niemand te kennen die zo heet.| Cet étui est un cadeau de quelqu’un du nom de Cecily et tu as dit que tu ne connaissais personne de ce nom.| This cigarette case is a present from some one of the name of Cecily, and you said you didn't know any one of that name.
|Goed, als je het dan weten moet, Cecily is toevallig mijn tante.| Bon, si tu veux tout savoir, Cecily est ma tante.|Well, if you want to know, Cecily happens to be my aunt.
|Je tante!| Ta tante!|Your aunt!
|Ja. En een aardige dame. Woont in Tunbridge Wells. Geef nu hier, Algy.| Oui. C’est une charmante vieille dame. Elle vit à Tunbridge Wells. Allez Algy, rends-moi l’étui.|Yes. Charming old lady she is, too. Lives at Tunbridge Wells. Just give it back to me, Algy.
|Maar waarom noemt ze zich kleine Cecily als ze je tante is| Mais pourquoi s’appelle-t-elle, elle-même, 'petite Cecily' si elle est ta tante|But why does she call herself little Cecily if she is your aunt
|en in Tunbridge Weells woont?| et qu’elle vit à Tunbridge Wells?|and lives at Tunbridge Wells?
|“Van je kleine Cecily, met veel liefs.”| "De la part de la petite Cecily avec son affection la plus vive"|"From little Cecily with her fondest love."
|Mijn beste kerel, TBD // wat maakt dat toch uit?| Qu’est-ce que tu vas chercher là, mon cher?|My dear fellow, what on earth is there in that?
|Sommige tantes zijn groot, andere tantes weer niet.| Il y a des tantes qui sont grandes, d’autres qui ne le sont pas.|Some aunts are tall, some aunts are not tall.
|Dat mag elke tante toch zeker voor zichzelf uitmaken.| C’est une question qu’une tante a le droit de décider elle-même.|That is a matter that surely an aunt may be allowed to decide for herself.
|Jij denkt zeker dat elke tante er zo moet uitzien als jouw tante! Absurd!| Tu sembles croire que toutes les tantes doivent être exactement comme la tienne! C’est absurde!|You seem to think that every aunt should be exactly like your aunt! That is absurd!
|En geef me nu mijn koker terug!| Allez, pour l’amour du ciel, rendsmoi mon étui à cigarettes.|For Heaven's sake give me back my cigarette case.
|Zeker. Maar waarom noemt jouw tante jou haar oom? | Oui, oui. Mais pourquoi ta tante t’appelle-t-elle son oncle? //Wat loopt er hier mis?|Yes. But why does your aunt call you her uncle?
|“Van je kleine Cecily, met veel liefs voor haar dierbare oom Jack.” | 'De la petite Cecily à son cher Oncle Jack, avec son affection la plus vive'.|'From little Cecily, with her fondest love to her dear Uncle Jack.'
|Ik kan mijn tante niet verbieden een kleine tante te verwezen, | Bien sûr, je l’admets, une tante peut être une petite tante|There is no objection, I admit, to an aunt being a small aunt,
|maar waarom zo’n tante, van welk formaat dan ook, | mais pourquoi une tante, quelle que soit sa taille,|but why an aunt, no matter what her size may be,
|haar eigen neef haar oom noemt, is me niet goed duidelijk. | appellerait elle 'mon oncle' son propre neveu, je n’y comprends rien.|should call her own nephew her uncle, I can't quite make out.
|Bovendien: je heet niet Jack; je heet Ernst.  | En plus ton nom n’est pas du tout Jack, c’est Constant.|Besides, your name isn't Jack at all; it is Ernest.
|Ik heet niet Ernst. Ik heet Jack.  | Ce n’est pas Constant, c’est Jack.|It isn't Ernest; it's Jack.
|Je hebt me altijd gezegd dat je Ernst heette. Ik heb je altijd voorgesteld als Ernst. | Tu m’as toujours dit que c’était Constant. Je t’ai présenté à tout le monde sous le nom de Constant.|You have always told me it was Ernest. I have introduced you to every one as Ernest.
|Je luistert naar de naam Ernst. Je ziet eruit als iemand die Ernst heet. | Tu réponds au nom de Constant. Tu as l’air de t’appeler Constant.|You answer to the name of Ernest. You look as if your name was Ernest.
|Je ziet er het ernstigst uit van alle mensen die ik ooit gekend heb. | Tu es l’homme qui a l’air le plus constant que j’ai jamais vu.|You are the most earnest-looking person I ever saw in my life.
|Het is ridicuul om te beweren dat je naam niet Ernst is. Het staat op je kaartje. | C’est totalement absurde de dire que ton nom n’est pas Constant. C’est marqué sur tes cartes.|It is perfectly absurd your saying that your name isn't Ernest. It's on your cards.
|Hier. “Mr Ernest Worthing, B.4, The Albany, W.” | En voilà une. 'Monsieur Constant Worthing, B. 4, The Albany.'|Here is one of them. 'Mr. Ernest Worthing, B. 4, The Albany.'
|t.b.d. // | Je la garde comme preuve que ton nom est bien Constant|I'll keep this as a proof that your name is Ernest
|t.b.d. // | au cas tu essaierais de nier la chose devant Gwendolen ou même n’importe qui.|if ever you attempt to deny it to me, or to Gwendolen, or to any one else.
|In de stad heet ik Ernst en buiten Jack, en die koker heb ik buiten gekregen.// | Eh bien mon nom est Constant à la ville et Jack à la campagne et, l’étui, on me l’a donné à la campagne.|Well, my name is Ernest in town and Jack in the country, and the cigarette case was given to me in the country.
|Geweldig, maar dat verklaart nog niet waarom je kleine tante Cecily, | Bien, bien. Mais ça n’explique pas que ta petite tante Cecily|Yes, but that does not account for the fact that your small Aunt Cecily,
|Die woont in Tunbridge Wells, jou haar dierbare oom noemt. | qui vit à Tunbridge Wells, t’appelle mon cher oncle. |who lives at Tunbridge Wells, calls you her dear uncle.
|Kom, ouwe jongen, biecht maar op.  |Allez mon vieux, tu ferais mieux de tout déballer.|Come, old boy, you had much better have the thing out at once.
| T.B.D // | Algy, mon cher, tu parles exactement comme un dentiste.|My dear Algy, you talk exactly as if you were a dentist.
| T.B.D // | C’est extrêmement vulgaire de parler comme un dentiste quand on n’est pas un dentiste.|It is very vulgar to talk like a dentist when one isn't a dentist.
| T.B.D // | Cela crée un malaise.|It produces a false impression.
| T.B.D // | Bon, bon! Allez, maintenant dis-moi tout.|Well, that is exactly what dentists always do. Now, go on! Tell me the whole thing.
|Ik heb je er altijd van verdacht in het geheim een Bunburyist te zijn; | Je dois dire que je t’ai toujours soupçonné d’être un Bunburiste clandestin|I may mention that I have always suspected you of being a confirmed and secret Bunburyist; 
|maar nu weet ik het zeker.  | et j’en suis tout à fait sûr maintenant.|and I am quite sure of it now.
|Wat is in vredesnaam een Bunburyist?  | Bunburiste? C’est quoi sur terre un Bunburiste?|Bunburyist? What on earth do you mean by a Bunburyist?
|Ik zal je het geheim van die onvergelijkbare uitdrukking ontsluieren zodra jij me hebt verteld | Je te révélerai le sens caché de ce mot dès que tu m’auras dit|I'll reveal to you the meaning of that incomparable expression as soon as you are kind enough to inform me
| waarom je in Londen Ernst heet en daarbuiten Jack.  | pourquoi tu es Constant à la ville et Jack à la campagne.|why you are Ernest in town and Jack in the country.
|Als ik eerst mijn cigarettenkoker krijg.  | Bon. Donne-moi d’abord mon étui.|Well, produce my cigarette case first.
|Voila. En nu voor de draad met je verklaring. Maak er alsjeblieft iets onwaarschijnlijks van.  | Le voilà. Maintenant, j’écoute tes explications et s’il te plait fais-les bien improbables.|Here it is. Now produce your explanation, and pray make it improbable.
|Mijn verklaring bezit volstrekt niets onwaarschijnlijks. Ze is eigenlijk zeer simpel. | Mon cher, il n’y a rien d’improbable dans mes explications. En fait la situation est tout à fait banale.|My dear fellow, there is nothing improbable about myexplanation at all. In fact it's perfectly ordinary.
|De oude Mr. Thomas Cardew die me, toen ik nog een kleine jongen was adopteerde benoemde me in zijn testament | Le vieux M. Thomas Cardew qui m’a adopté quand j’étais petit m’a désigné dans son testament|Old Mr. Thomas Cardew, who adopted me when I was a little boy, made me in his will
|tot voogd van zijn kleindochter, Ms. Cecily Cardew. | comme tuteur de sa petite-fille, Mlle Cecily Cardew.|guardian to his grand-daughter, Miss Cecily Cardew. 
|Cecily, die mij oom noemt, om redenen van respect die jij ongetwijfeld niet zult weten te waarderen,  | Cecily, qui me considère comme son oncle par respect ce que tu es bien incapable de comprendre|Cecily, who addresses me as her uncle from motives of respect that you could not possibly appreciate, 
|woont op mijn buitengoed onder de hoede van haar bewonderenswaardige gouvernante, Miss Prism.  | vit chez moi à la campagne, sous la responsabilité de son admirable gouvernante, Miss Prism.|lives at my place in the country under the charge of her admirable governess, Miss Prism.
|Waar ligt dat buitengoed?  | Et où ça, à la campagne?|Where in that place in the country, by the way?
|Dat gaat je niets aan, beste jongen. Een uitnodiging komt er toch niet van.  | Tu n’as rien à y faire, mon vieux et tu n’es pas près d’être invité…|That is nothing to you, dear boy. You are not going to be invited
|In elk geval niet in Shropshire, zoveel kan ik wel zeggen.  | Tout ce que je peux te dire c’est que ce n’est pas dans le Shropshire.|I may tell you candidly that the place is not in Shropshire.
|Dat dacht ik al! Ik heb bij twee verschillende gelegenheden heel Shropshire afgebunburied. | Je m’en doutais, mon cher, J’ai Bunburisé dans le Shropshire en deux occasions différentes.|I suspected that, my dear fellow! I have Bunburyed all over Shropshire on two separate occasions. 
|Maar waarom ben je in Londen Ernst en daarbuiten Jack?  | Mais tu n’as pas tout dit. Pourquoi es-tu Constant à la ville et Jack à la campagne?|Now, go on. Why are you Ernest in town and Jack in the country?
|Beste Algy, ik denk niet dat jij mijn motieven zal kunnen begrijpen. | Ecoute, je ne suis pas sûr que tu sois capable de comprendre mes vraies raisons.|My dear Algy, I don't know whether you will be able to understand my real motives.
|Je bent geenzins serieus genoeg. Wanneer men als voogd aangesteld wordt,// | Tu n’es pas assez sérieux. Quand on se trouve dans la situation de tuteur|You are hardly serious enough. When one is placed in the position of guardian,
|dient men een zeer hoge morele toon aan te slaan.  | on doit montrer une attitude hautement morale sur tous les sujets.|one has to adopt a very high moral tone on all subjects. 
|Dat is zijn plicht.  | C’est un devoir. |It's one's duty to do so.
|En aangezien een hoge morele toon nauwlijks bijdraagt tot iemands gezondheid of geluk | Et comme une attitude hautement morale n’est pas compatible avec la santé et le plaisir,|And as a high moral tone can hardly be said to conduce very much to either one's health or one's happiness,
|heb ik, om naar de stad te kunnen gaan, altijd gedaan of ik een jongere broer had | quand je veux aller en ville je prétends toujours que j’ai un jeune frère |in order to get up to town I have always pretended to have a younger brother
|die Ernst heet, in de Albany woont en steeds in de neteligste verwikkelingen verzeild raakt. |du nom de Constant qui vit à Albany, et qui mène la vie la plus dissipée. | of the name of Ernest, who lives in the Albany, and gets into the most dreadful scrapes. 
|Dat, mijn beste Algy, is de waarheid, zuiver en eenvoudig.  | Voilà, mon cher, la vérité pure et simple.|That, my dear Algy, is the whole truth pure and simple.
|De waarheid is zelden zuiver en nooit eenvoudig.  | La vérité est rarement pure et jamais simple.|The truth is rarely pure and never simple. 
|Was hij dat wel, dan zou ons huidig bestaan wel uiterst langdradig worden, | Sinon la vie moderne serait profondément ennuyeuse|Modern life would be very tedious if it were either, 
|en de moderne litteratuur volstrekt onmogelijk! | et la littérature moderne tout à fait impossible.|and modern literature a complete impossibility!
|Dat zou zo erg nog niet zijn.  | Ce ne serait pas une mauvaise chose.|That wouldn't be at all a bad thing.
|Litteraire kritiek is niet je sterkste zijde. | La critique littéraire n’est pas ton point fort, mon vieux.|Literary criticism is not your forte, my dear fellow. Don't try it.
|Laat dat maar over aan de mensen die nooit hebben gestudeerd. | Inutile d’essayer, laisse donc ça aux types qui ne sont pas allés à l’Université.|You should leave that to people who haven't been at a University.
|Die doen het uitstekend in de kranten. Wat jij bent is een bunburyist. | Ils font ça très bien dans les journaux. En fait ce que tu es vraiment, c’est un Bunburiste.|They do it so well in the daily papers. What you really are is a Bunburyist.
|Een van de meest vergevorderde Bunburyisten die ik ken.  | J’avais tout à fait raison en disant que tu es un Bunburiste, le plus parfait que je connaisse.|I was quite right in saying you were a Bunburyist. You are one of the most advanced Bunburyists I know.
|Wat bedoel je in vredesnaam? | Mais bon sang qu’est-ce que ça veut dire?|What on earth do you mean?
|Je hebt een erg nuttige jongere broer bedacht die Ernst heet, | Tu t’es inventé un jeune frère bien utile appelé Constant|You have invented a very useful younger brother called Ernest,
|om zo vaak je maar wilt naar de stad te kunnen komen. | pour pouvoir aller en ville aussi souvent que tu veux.|in order that you may be able to come up to town as often as you like.
| Ik heb een onbetaalbare chronische patiënt verzonnen die Bunbury heet,  | Moi j’ai inventé Bunbury, un grand malade qui me permet|I have invented an invaluable permanent invalid called Bunbury,
|om wanneer ik maar wil de stad te kunnen verlaten. Bunbury is van onschatbare waarde. | de filer à la campagne aussi souvent que je veux. Bunbury est très commode.| in order that I may be able to go down into the country whenever I choose. Bunbury is perfectly invaluable.
|Als Bunbury bijvoorbeeld niet zo’n belabberde gezondheid genoot | Par exemple, sans sa terrible mauvaise santé, |If it wasn't for Bunbury's extraordinary bad health, for instance,
|was ik vanavond niet in staat geweest om met jou in de Willis’s te gaan dineren |je ne pourrais pas dîner ce soir au Willis’s avec toi |I wouldn't be able to dine with you at Willis's to-night
